task_id,user_id,price,comment,is_rejected,created_at,updated_at
43,6,7906,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1,2019-07-19 23:20:09,2019-07-19 23:20:09
27,9,6585,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,1,2019-06-15 01:09:05,2019-06-15 01:09:05
25,4,6437,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",0,2019-06-25 14:14:09,2019-06-25 14:14:09
9,6,840,Nunc purus.,1,2019-07-31 02:04:08,2019-07-31 02:04:08
29,13,2632,Suspendisse potenti. In eleifend quam a odio.,1,2019-06-25 21:10:12,2019-06-25 21:10:12
39,14,731,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1,2019-07-22 13:07:26,2019-07-22 13:07:26
36,2,8782,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",1,2019-10-27 14:03:53,2019-10-27 14:03:53
22,5,7967,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0,2019-07-28 16:35:45,2019-07-28 16:35:45
43,19,6488,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,0,2019-10-03 11:20:07,2019-10-03 11:20:07
14,6,3584,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,0,2019-06-10 01:49:58,2019-06-10 01:49:58
30,7,1947,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,2019-07-18 14:20:33,2019-07-18 14:20:33
48,11,2239,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,1,2019-06-22 09:14:31,2019-06-22 09:14:31
15,9,1067,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,0,2019-08-08 10:15:50,2019-08-08 10:15:50
44,15,3330,Aenean lectus.,0,2019-07-15 19:42:07,2019-07-15 19:42:07
40,12,3257,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,1,2019-10-07 01:49:36,2019-10-07 01:49:36
48,12,4509,Nulla suscipit ligula in lacus.,1,2019-09-01 16:35:51,2019-09-01 16:35:51
29,5,5145,Vivamus tortor.,0,2019-07-05 14:02:51,2019-07-05 14:02:51
47,17,3490,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,2019-08-27 19:27:50,2019-08-27 19:27:50
45,20,1870,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",1,2019-06-01 08:30:37,2019-06-01 08:30:37
30,18,4583,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,2019-10-02 14:13:15,2019-10-02 14:13:15
30,1,8736,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1,2019-09-26 03:16:34,2019-09-26 03:16:34
9,2,814,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,0,2019-09-17 11:57:12,2019-09-17 11:57:12
28,15,3157,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,2019-09-29 21:53:02,2019-09-29 21:53:02
38,1,8547,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,1,2019-06-05 20:22:15,2019-06-05 20:22:15
12,10,1755,Etiam faucibus cursus urna. Ut tellus.,1,2019-06-03 06:54:56,2019-06-03 06:54:56
33,15,7224,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1,2019-06-13 21:44:28,2019-06-13 21:44:28
35,9,4463,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1,2019-06-24 03:51:06,2019-06-24 03:51:06
13,16,1085,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0,2019-09-16 13:30:37,2019-09-16 13:30:37
6,20,8065,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",1,2019-09-21 15:23:23,2019-09-21 15:23:23
6,4,2398,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0,2019-10-27 20:04:38,2019-10-27 20:04:38
29,9,6414,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,1,2019-08-24 16:56:10,2019-08-24 16:56:10
38,7,2425,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0,2019-09-30 13:52:29,2019-09-30 13:52:29
39,9,6242,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0,2019-08-31 19:38:36,2019-08-31 19:38:36
39,20,1743,Pellentesque ultrices mattis odio. Donec vitae nisi.,1,2019-07-27 04:17:06,2019-07-27 04:17:06
17,14,6857,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0,2019-06-06 01:31:52,2019-06-06 01:31:52
18,12,6252,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",0,2019-06-07 14:23:21,2019-06-07 14:23:21
45,18,2053,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,2019-06-09 01:51:42,2019-06-09 01:51:42
40,4,5239,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0,2019-09-06 01:59:56,2019-09-06 01:59:56
40,18,6131,Donec dapibus.,1,2019-10-07 07:21:36,2019-10-07 07:21:36
8,16,4309,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,1,2019-06-27 11:11:26,2019-06-27 11:11:26
38,9,2633,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0,2019-08-30 14:03:27,2019-08-30 14:03:27
2,19,2684,Phasellus sit amet erat.,1,2019-09-21 20:46:54,2019-09-21 20:46:54
24,10,4082,Donec posuere metus vitae ipsum. Aliquam non mauris.,1,2019-07-20 08:14:19,2019-07-20 08:14:19
43,2,3730,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",0,2019-06-09 21:30:42,2019-06-09 21:30:42
36,19,8471,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",1,2019-08-27 04:54:48,2019-08-27 04:54:48
32,2,6057,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",0,2019-09-09 12:27:38,2019-09-09 12:27:38
35,17,6956,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,1,2019-09-03 06:36:05,2019-09-03 06:36:05
32,16,7271,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1,2019-10-04 10:25:44,2019-10-04 10:25:44
4,2,1956,Proin eu mi.,0,2019-10-21 13:17:08,2019-10-21 13:17:08
9,5,7797,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,0,2019-07-19 22:25:15,2019-07-19 22:25:15
11,18,6781,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,1,2019-07-28 23:41:08,2019-07-28 23:41:08
49,6,1840,In quis justo.,1,2019-09-22 23:02:51,2019-09-22 23:02:51
49,17,6323,Vivamus vel nulla eget eros elementum pellentesque.,1,2019-08-06 15:07:58,2019-08-06 15:07:58
8,11,1426,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,2019-10-19 10:00:42,2019-10-19 10:00:42
9,10,2585,Nunc rhoncus dui vel sem.,0,2019-08-05 00:21:48,2019-08-05 00:21:48
